Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auprc,CLMBR,GBM,"0.146 [0.093, 0.208]","0.086 [0.054, 0.129]","0.058 [0.027, 0.1]",0.0,64
auprc_c,CLMBR,GBM,"0.793 [0.729, 0.849]","0.702 [0.656, 0.75]","0.09 [0.054, 0.126]",0.0,64
auroc,CLMBR,GBM,"0.798 [0.737, 0.854]","0.704 [0.666, 0.748]","0.093 [0.055, 0.127]",0.0,64
ece,CLMBR,GBM,"0.008 [0.004, 0.014]","0.011 [0.006, 0.02]","-0.003 [-0.007, -0.001]",0.0,64
auprc,CLMBR,CLMBR_SK,"0.146 [0.093, 0.208]","0.185 [0.12, 0.261]","-0.038 [-0.054, -0.024]",0.0,64
auprc_c,CLMBR,CLMBR_SK,"0.793 [0.729, 0.849]","0.83 [0.764, 0.887]","-0.038 [-0.049, -0.024]",0.0,64
auroc,CLMBR,CLMBR_SK,"0.798 [0.737, 0.854]","0.839 [0.771, 0.894]","-0.04 [-0.052, -0.025]",0.0,64
ece,CLMBR,CLMBR_SK,"0.008 [0.004, 0.014]","0.009 [0.004, 0.014]","-0.0 [-0.001, 0.001]",0.708,64
auprc,CLMBR_DAPT,GBM,"0.234 [0.151, 0.321]","0.164 [0.105, 0.231]","0.069 [0.044, 0.096]",0.0,256
auprc_c,CLMBR_DAPT,GBM,"0.853 [0.797, 0.9]","0.78 [0.73, 0.829]","0.07 [0.057, 0.087]",0.0,256
auroc,CLMBR_DAPT,GBM,"0.858 [0.804, 0.904]","0.777 [0.735, 0.82]","0.078 [0.061, 0.1]",0.0,256
ece,CLMBR_DAPT,GBM,"0.008 [0.005, 0.012]","0.013 [0.007, 0.02]","-0.005 [-0.009, -0.002]",0.0,256
